epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
83,0.0022,0.9998,0.0593,0.9834,0.9897,0.9652,0.997,0.8397,0.9477,7.8125e-08
84,0.0045,0.9989,0.0582,0.9808,0.988,0.9602,0.9973,0.8349,0.9486,3.90625e-08
85,0.0024,0.9995,0.0578,0.9821,0.9897,0.9602,0.9972,0.8333,0.9489,3.90625e-08
86,0.0035,0.9995,0.0595,0.9821,0.9897,0.9602,0.997,0.8397,0.9519,3.90625e-08
87,0.0038,0.9991,0.0617,0.9796,0.9828,0.9701,0.9973,0.8526,0.9501,3.90625e-08
88,0.0027,0.9995,0.0589,0.9821,0.9863,0.9701,0.9974,0.8494,0.9475,1.953125e-08
89,0.0026,1.0,0.0578,0.9821,0.9863,0.9701,0.9975,0.8478,0.9511,1.953125e-08
90,0.0026,0.9995,0.0603,0.9796,0.9845,0.9652,0.9972,0.851,0.9492,1.953125e-08
91,0.0028,0.9993,0.0592,0.9808,0.9845,0.9701,0.9972,0.8462,0.9499,1.953125e-08
92,0.0026,0.9998,0.0582,0.9808,0.9845,0.9701,0.9974,0.8542,0.9505,1.953125e-08
93,0.0035,0.9991,0.0602,0.9821,0.988,0.9652,0.9971,0.8446,0.9487,1.953125e-08
94,0.0026,0.9995,0.0599,0.9808,0.988,0.9602,0.9972,0.8381,0.9468,1.953125e-08
95,0.0034,0.9991,0.0584,0.9808,0.9845,0.9701,0.9975,0.8526,0.9461,1.953125e-08
96,0.003,0.9995,0.0585,0.9821,0.9863,0.9701,0.9974,0.8446,0.9468,1.953125e-08
97,0.0021,0.9998,0.0582,0.9834,0.9897,0.9652,0.9974,0.8413,0.9483,1.953125e-08
98,0.0026,0.9995,0.0626,0.9783,0.9794,0.9751,0.9974,0.8558,0.9498,1.953125e-08
99,0.0023,0.9995,0.0606,0.9783,0.9811,0.9701,0.9973,0.851,0.9488,1.953125e-08
100,0.004,0.9989,0.061,0.9796,0.9828,0.9701,0.9974,0.8526,0.9475,1.953125e-08
